Airline,Source,Destination,Total_Stops,Price,journey_day,journey_month,journey_year,Dep_Time_Sin,Dep_Time_Cos,Total_Duration_Minutes,Arrival_Time_Minutes,Arrival_Time_Sin,Arrival_Time_Cos
1,1,1,0,3897,24,3,2019,-0.4226182617407,0.9063077870366497,170,70,0.3007057995042731,0.9537169507482269
2,2,2,2,7662,1,5,2019,0.9990482215818578,0.04361938736533623,445,795,-0.3214394653031611,-0.9469301294951058
3,3,3,2,13882,9,6,2019,0.6259234721840592,-0.7798844830928817,1140,265,0.9153114791194471,0.40274668985873724
1,2,2,1,6218,12,5,2019,-0.9997620270799091,0.021814885034561356,325,1410,-0.13052619222005168,0.9914448613738104
1,1,1,1,13302,1,3,2019,-0.9537169507482267,-0.3007057995042738,285,1295,-0.5913096483635824,0.8064446042674827
4,2,2,0,3873,24,6,2019,0.7071067811865476,-0.7071067811865475,145,685,0.15212338618991708,-0.9883615104677607
3,1,1,1,11087,12,3,2019,-0.9713420698132614,0.23768589232617307,930,625,0.4027466898587373,-0.9153114791194471
3,1,1,1,22270,1,3,2019,0.8660254037844387,-0.4999999999999998,1265,305,0.9713420698132614,0.2376858923261731
3,1,1,1,11087,12,3,2019,0.7223639620597556,-0.6915130557822693,1530,625,0.4027466898587373,-0.9153114791194471
5,3,3,1,8625,27,5,2019,0.15212338618991708,-0.9883615104677607,470,1155,-0.9469301294951057,0.3214394653031615
2,3,3,1,8907,1,6,2019,0.5555702330196022,-0.8314696123025453,795,1380,-0.2588190451025207,0.9659258262890683
1,2,2,0,4174,18,4,2019,-0.8191520442889918,0.573576436351046,155,1375,-0.27982901403099325,0.9600498543859284
2,4,4,0,4667,24,6,2019,0.08715574274765864,-0.9961946980917455,135,835,-0.4809887689193874,-0.8767267557075078
3,2,2,1,9663,9,5,2019,-0.6755902076156605,0.7372773368101239,730,560,0.6427876096865395,-0.7660444431189779
1,2,2,0,4804,24,4,2019,-0.9807852804032303,-0.19509032201612866,155,1190,-0.887010833178222,0.46174861323503325
2,3,3,2,14011,3,3,2019,-0.9396926207859082,-0.3420201433256694,1595,1155,-0.9469301294951057,0.3214394653031615
4,3,3,1,5830,15,4,2019,0.7518398074789774,-0.6593458151000688,270,795,-0.3214394653031611,-0.9469301294951058
3,3,3,1,10262,12,6,2019,-0.5000000000000001,-0.8660254037844386,1355,755,-0.15212338618991642,-0.9883615104677608
2,3,3,2,13381,12,6,2019,-0.8314696123025455,0.5555702330196018,1380,1155,-0.9469301294951057,0.3214394653031615
3,3,3,1,12898,27,5,2019,-0.8660254037844385,-0.5000000000000004,1235,755,-0.15212338618991642,-0.9883615104677608
6,3,3,1,19495,6,3,2019,-0.5372996083468236,-0.8433914458128858,310,1160,-0.9396926207859085,0.34202014332566816
2,1,1,1,6955,21,3,2019,-0.5000000000000004,0.8660254037844384,920,800,-0.34202014332566866,-0.9396926207859084
1,1,5,0,3943,3,4,2019,0.8660254037844386,0.5000000000000001,170,410,0.9762960071199334,-0.2164396139381028
1,1,5,0,4823,1,5,2019,-0.9713420698132614,0.23768589232617307,175,1310,-0.5372996083468242,0.8433914458128855
3,2,2,1,7757,6,5,2019,-0.9713420698132614,0.23768589232617307,800,495,0.8314696123025451,-0.5555702330196023
3,3,3,2,13292,9,6,2019,-0.6259234721840596,0.7798844830928813,910,755,-0.15212338618991642,-0.9883615104677608
1,3,3,1,8238,1,6,2019,-0.5372996083468242,0.8433914458128855,345,215,0.8064446042674825,0.5913096483635825
6,3,3,1,7682,15,5,2019,0.9659258262890683,-0.25881904510252085,355,775,-0.23768589232617313,-0.9713420698132614
7,1,5,0,4668,18,6,2019,0.5555702330196022,-0.8314696123025453,170,755,-0.15212338618991642,-0.9883615104677608
7,4,4,0,3687,15,6,2019,0.9600498543859287,-0.2798290140309919,135,560,0.6427876096865395,-0.7660444431189779
7,4,4,0,3687,18,6,2019,0.9600498543859287,-0.2798290140309919,135,560,0.6427876096865395,-0.7660444431189779
2,2,2,2,13227,1,5,2019,0.5372996083468238,-0.8433914458128857,805,1395,-0.19509032201612872,0.9807852804032303
1,1,5,0,4423,6,4,2019,0.8660254037844386,0.5000000000000001,170,410,0.9762960071199334,-0.2164396139381028
3,3,3,2,10919,15,6,2019,-0.6259234721840587,-0.779884483092882,1320,755,-0.15212338618991642,-0.9883615104677608
3,3,3,1,12373,18,5,2019,0.9600498543859287,-0.2798290140309919,330,755,-0.15212338618991642,-0.9883615104677608
1,3,3,1,5894,27,6,2019,0.36243803828370175,-0.9320078692827984,625,1260,-0.7071067811865477,0.7071067811865474
4,2,2,1,4649,21,5,2019,-0.7223639620597552,-0.6915130557822698,315,1220,-0.8191520442889918,0.573576436351046
2,2,2,0,6245,18,5,2019,-0.5555702330196023,-0.8314696123025452,150,1005,-0.9469301294951056,-0.3214394653031618
3,1,1,1,19225,6,3,2019,0.9659258262890683,-0.25881904510252085,375,795,-0.3214394653031611,-0.9469301294951058
3,3,3,1,14924,3,6,2019,0.9600498543859287,-0.2798290140309919,715,1140,-0.9659258262890682,0.25881904510252113
5,3,3,1,9646,21,5,2019,0.9600498543859287,-0.2798290140309919,665,1090,-0.9990482215818578,0.043619387365335764
2,1,1,1,8714,15,3,2019,0.9807852804032305,-0.19509032201612797,510,915,-0.7518398074789773,-0.6593458151000691
3,3,3,1,12373,18,5,2019,-0.7223639620597561,0.6915130557822688,1325,1140,-0.9659258262890682,0.25881904510252113
8,1,5,0,3383,6,5,2019,0.21643961393810318,-0.9762960071199333,165,835,-0.4809887689193874,-0.8767267557075078
5,3,3,1,13062,21,3,2019,0.7071067811865476,-0.7071067811865475,720,1260,-0.7071067811865477,0.7071067811865474
4,1,1,0,3527,24,3,2019,0.9978589232386035,0.06540312923014305,170,515,0.7798844830928817,-0.6259234721840591
1,1,5,0,3943,27,5,2019,0.8660254037844386,0.5000000000000001,170,410,0.9762960071199334,-0.2164396139381028
2,4,4,0,4667,3,5,2019,0.08715574274765864,-0.9961946980917455,135,835,-0.4809887689193874,-0.8767267557075078
2,2,2,1,6117,15,5,2019,-0.9659258262890682,0.25881904510252113,965,665,0.23768589232617293,-0.9713420698132614
3,3,3,2,11150,27,6,2019,-0.2376858923261735,0.9713420698132613,1195,1140,-0.9659258262890682,0.25881904510252113
3,3,3,0,7202,9,3,2019,0.258819045102521,-0.9659258262890682,195,855,-0.5555702330196023,-0.8314696123025452
3,2,2,1,12121,1,5,2019,0.5913096483635826,-0.8064446042674824,1520,655,0.2798290140309923,-0.9600498543859286
